,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
kelly59242,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,1
D0ntCryBB,0,0,3,0,2,2,1,2,1,1,2,2,0,0,0,1,-1,-1,0
frimija26,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,0
Hari86,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,0
Cocochamelle,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,0
etilEnipS,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,69,0
BTCto1M,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,3,-1,-1,0
LACHATATATA,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,0
Ryujin,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,-1,0
Cesar Polska,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,0
rorro29,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,10,0
mangedisc,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,45,-1
MamieMarcell,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,50,-1
Nath020800,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
mamaPritz,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,21,-1
mangeTmort,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Malschee,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
MaloucocoPok,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,4,-1,-1,-1
